time;traffic
0;446000000000
1;434000000000
2;434000000000
3;434000000000
4;434000000000
5;434000000000
6;445000000000
7;445000000000
8;445000000000
9;445000000000
10;445000000000
11;459000000000
12;459000000000
13;459000000000
14;459000000000
15;459000000000
16;444000000000
17;444000000000
18;444000000000
19;444000000000
20;444000000000
21;466000000000
22;466000000000
23;466000000000
24;466000000000
25;466000000000
26;447000000000
27;447000000000
28;447000000000
29;447000000000
30;447000000000
31;440000000000
32;440000000000
33;440000000000
34;440000000000
35;440000000000
36;385000000000
37;385000000000
38;385000000000
39;385000000000
40;385000000000
41;346000000000
42;346000000000
43;346000000000
44;346000000000
45;346000000000
46;353000000000
47;353000000000
48;353000000000
49;353000000000
50;353000000000
51;413000000000
52;413000000000
53;413000000000
54;413000000000
55;413000000000
56;730000000000
57;730000000000
58;730000000000
59;730000000000
60;730000000000
61;415000000000
62;415000000000
63;415000000000
64;415000000000
65;415000000000
66;433000000000
67;433000000000
68;433000000000
69;433000000000
70;433000000000
71;386000000000
72;386000000000
73;386000000000
74;386000000000
75;386000000000
76;369000000000
77;369000000000
78;369000000000
79;369000000000
80;369000000000
81;465000000000
82;465000000000
83;465000000000
84;465000000000
85;465000000000
86;397000000000
87;397000000000
88;397000000000
89;397000000000
90;397000000000
91;399000000000
92;399000000000
93;399000000000
94;399000000000
95;399000000000
96;417000000000
97;417000000000
98;417000000000
99;417000000000
100;417000000000
101;38500000000
102;38500000000
103;38500000000
104;38500000000
105;38500000000
106;366000000000
107;366000000000
108;366000000000
109;366000000000
110;366000000000
111;347000000000
112;347000000000
113;347000000000
114;347000000000
115;347000000000
116;382000000000
117;382000000000
118;382000000000
119;382000000000
120;382000000000
121;380000000000
122;380000000000
123;380000000000
124;380000000000
125;380000000000
126;402000000000
127;402000000000
128;402000000000
129;402000000000
130;402000000000
131;435000000000
132;435000000000
133;435000000000
134;435000000000
135;435000000000
136;425000000000
137;425000000000
138;425000000000
139;425000000000
140;425000000000
141;435000000000
142;435000000000
143;435000000000
144;435000000000
145;435000000000
146;395000000000
147;395000000000
148;395000000000
149;395000000000
150;395000000000
151;381000000000
152;381000000000
153;381000000000
154;381000000000
155;381000000000
156;373000000000
157;373000000000
158;373000000000
159;373000000000
160;373000000000
161;356000000000
162;356000000000
163;356000000000
164;356000000000
165;356000000000
166;435000000000
167;435000000000
168;435000000000
169;435000000000
170;435000000000
171;391000000000
172;391000000000
173;391000000000
